,support,itemsets
191,0.17073170731707318,"frozenset({""L'Oreal Paris Infallible Ultra Matte Liquid Les Macarons Lipstick"", 'Lakme Absolute Kohl Ultimate The Gelato Collection'})"
192,0.17073170731707318,"frozenset({'Nykaa Matte to Last! Mini Metallic Liquid Lipstick and Eyeshadow', 'Lakme 9to5 Primer + Matte Liquid Lip Color'})"
193,0.17073170731707318,"frozenset({'Lakme Absolute White Intense SPF 20 Concealer Stick', 'Lakme Absolute Argan Oil Serum Foundation With SPF 45'})"
194,0.17073170731707318,"frozenset({'Lakme Absolute Argan Oil Serum Foundation With SPF 45', 'Lakme Kajal - Black'})"
195,0.17073170731707318,"frozenset({'Lakme Absolute Argan Oil Serum Foundation With SPF 45', 'Maybelline New York Fashion Brow Duo Shaper'})"
196,0.17073170731707318,"frozenset({'NYX Professional Makeup Liquid Suede Cream Lipstick', 'Lakme Absolute Argan Oil Serum Foundation With SPF 45'})"
197,0.21951219512195122,"frozenset({'Lakme Absolute Plush Matte Lip Crayon', 'Lakme Absolute Kohl Ultimate The Gelato Collection'})"
198,0.17073170731707318,"frozenset({'Lakme Absolute Kohl Ultimate The Gelato Collection', 'Lakme Kajal - Black'})"
199,0.1951219512195122,"frozenset({'Lakme Absolute Kohl Ultimate The Gelato Collection', 'Maybelline New York Tattoo Studio Gel Eyeliner Pencil'})"
200,0.17073170731707318,"frozenset({'Nykaa Get Winged! Sketch Eyeliner Pen - Black Swan 01', 'Lakme Absolute Kohl Ultimate The Gelato Collection'})"
201,0.17073170731707318,"frozenset({'Nykaa Matte to Last! Metallic Liquid Lipstick and Eyeshadow', 'Lakme Absolute Kohl Ultimate The Gelato Collection'})"
202,0.2682926829268293,"frozenset({'Nykaa Matte to Last! Mini Metallic Liquid Lipstick and Eyeshadow', 'Lakme Absolute Kohl Ultimate The Gelato Collection'})"
203,0.17073170731707318,"frozenset({'Lakme Absolute Kohl Ultimate The Gelato Collection', 'Nykaa Naturals Apple Cider Vinegar & Ginger Shampoo & Conditioner- Anti-Dandruff Combo'})"
204,0.21951219512195122,"frozenset({'Lakme Absolute Kohl Ultimate The Gelato Collection', 'Nykaa SKINgenius Skin Perfecting & Hydrating Matte Powder Compact - Rose Beige 02'})"
205,0.1951219512195122,"frozenset({'Nykaa Matte to Last! Mini Metallic Liquid Lipstick and Eyeshadow', 'Lakme Absolute Plush Matte Lip Crayon'})"
206,0.17073170731707318,"frozenset({'Lakme Enrich Satin Lipstick', 'Maybelline New York Fashion Brow Duo Shaper'})"
